Gene;S1
Ndnf;GABA
Smad3;GABA
Reln;GABA
Car4;GABA
Cxcl14;GABA
Sema3c;GABA
Tnfaip8l3;GABA
Vip;GABA
Gpc3;GABA
Mab21l1;GABA
Chat;GABA
Parm1;GABA
Mybpc1;GABA
Crispld2;GABA
Sncg;GABA
Frmd7;GABA
Sst;GABA
Calb2;GABA
Chodl;GABA
Nos1;GABA
Tacr1;GABA
Cdk6;GABA
Cbln4;GABA
Myh8;GABA
Tacstd2;GABA
Th;GABA
Spp1;GABA
Pvalb;GABA
Cpne5;GABA
Tpbg;GABA
Gpx3;GABA
Rspo2;GABA
Wt1;GABA
Obox3;GABA
Tacr3;GABA
Igtp;GABA
Enpp2;Glutamate
Otof;Glutamate
Ngb;Glutamate
Ptgs2;Glutamate
Inhba;Glutamate
Rorb;Glutamate
Ctxn3;Glutamate
Scnn1a;Glutamate
Arf5;Glutamate
Hsd11b1;Glutamate
Deptor;Glutamate
Myl4;Glutamate
Tcerg1l;Glutamate
Pde1c;Glutamate
Penk;Glutamate
Batf3;Glutamate
Ucma;Glutamate
Qrfpr;Glutamate
Bcl6;Glutamate
Tph2;Glutamate
Stac;Glutamate
Cdh13;Glutamate
Ddit4l;Glutamate
Col6a1;Glutamate
Chrna6;Glutamate
Foxp2;Glutamate
Mgp;Glutamate
Ly6d;Glutamate
Sla;Glutamate
Car12;Glutamate
Syt17;Glutamate
Prss22;Glutamate
Ctgf;Glutamate
Tnmd;Glutamate
Serpinb11;Glutamate
Rgs12;Glutamate
Tcf7l2;NonNeural
Cd9;NonNeural
Aqp4;NonNeural
Cxcl14;NonNeural
Gja1;NonNeural
Gfap;NonNeural
F3;NonNeural
Sox9;NonNeural
Olig1;NonNeural
Pdgfra;NonNeural
Cspg4;NonNeural
Pcdh15;NonNeural
Gria3;NonNeural
96*Rik;NonNeural
Brca1;NonNeural
Enpp6;NonNeural
Fyn;NonNeural
Rnf122;NonNeural
Mbp;NonNeural
Mag;NonNeural
Mog;NonNeural
Opalin;NonNeural
Itgam;NonNeural
Ctss;NonNeural
Cx3cr1;NonNeural
C1qb;NonNeural
Gpr34;NonNeural
Flt1;NonNeural
Id1;NonNeural
Xdh;NonNeural
Tbc1d4;NonNeural
Exosc7;NonNeural
Myl9;NonNeural
Crip1;NonNeural
Bgn;NonNeural
Vtn;NonNeural